题型,题目,选项,答案,解析
单选题,"[2020年][河南中安]一、单选题
1
标记
收藏

某施工总承包单位承建学校建设工程，总建筑面积53125m2，包括教学楼、宿舍楼、体育馆及配套附属设施四项单体工程。在体育馆单体工程施工前，施工总承包单位应首先编制（ ）。",A.临时用电组织设计|B.单位工程施工组织设计|C.专项施工方案|D.安全技术措施|A.塔式起重机可以和其他用电设备共用一台开关箱|B.塔式起重机的使用单位应当对使用中的吊具、索具进行定期检验|C.塔式起重机按照专项施工方案完成顶升、附着后，即可投入使用|D.塔式起重机停止作业时应收起吊钩，将起重臂锁死切断电源|A.定期对施工升降机进行坠落试验|B.每天作业前检查齿轮与齿条啮合是否正常|C.在最高层站的停靠处，使用上限位装置停机|D.每天作业结束后，将两个吊笼停放到底层并切断电源|A.悬挂机构前支架支撑在女儿墙上，安放平稳|B.悬挂机构前支架与支撑面保持垂直，脚轮不受力|C.配重件稳定可靠地安放在配重架上，并有防止随意移动的措施|D.安全钢丝绳、工作钢丝绳分别独立悬挂，无松散、断股、打结|A.分配电箱和开关箱|B.总配电箱和开关箱|C.分配电箱和设备控制箱|D.总配电箱和分配电箱|A.圆钢|B.角钢|C.螺纹钢|D.钢管|A.发电机组电源中性点应直接接地|B.发电机组供电系统可不装设漏电保护电器|C.发电机组电源应与外电线路电源并列运行|D.配电室内存放贮油桶时，应配备灭火器|A.0.40m|B.0.50m|C.0.60m|D.0.70m|A.3m|B.4m|C.5m|D.6m|A.5.50KN/m2|B.6.50KN/m2|C.7.50KN/m2|D.8.50KN/m2|A.用安全平网单层兜底|B.用安全平网双层兜底|C.用密目式安全立网单层兜底|D.用密目式安全立网双层兜底|A.土石方机械、运输车辆行走坡道坡度为1∶5|B.采用钢板网喷射混凝土护坡，面层厚度为50㎜|C.基坑周边的施工用水应有排放系统，不得渗入土体内|D.基坑周边设立防护栏杆，且在危险处设置红色警示灯和悬挂警告标志|A.雨季施工期间，在坑顶、坑底采取有效的截排水措施|B.发生暴雨、台风等灾害天气后，及时对基坑安全进行现场检查|C.基坑周边原有建筑物设置监测点，安排专人负责监测|D.基坑支护结构构件强度达到设计要求的70%，开挖下层土方|A.40%|B.50%|C.70%|D.80%|A.拆除连墙件时，一次性拆除两层|B.划出拆除警戒区设专人看护后，上下同时进行拆除作业|C.按照“先内后外”的顺序拆除同层杆件和构件|D.按照“后装先拆、先装后拆”的原则，进行拆除作业|A.立杆的垂直偏差不应大于模板支架总高度的1%|B.搭设高度超过8m的模板支架时，水平杆步距不得大于1.8m|C.可调托座螺杆插入立杆内的长度不得小于150㎜|D.可调底座调节丝杆外露长度不得超过500㎜|A.坚持大流水步距，快速开挖|B.坚持先护顶后开挖的原则施工|C.开挖成型后需等待围岩应力重新分布完成，再进行初期支护|D.施作仰拱和封闭成环前需静置一段时间，确认无沉降后进行|A.施工单位组织了5名以上具有中级技术职称、专业经验丰富的专家进行论证|B.专家论证结论为“修改后通过”的，施工单位按照专家意见修改后实施|C.专家论证结论为“通过”的，施工单位参考专家意见自行修改完善后实施|D.专家论证的内容包括计算书、验算依据，是否符合规范标准，是否造价合理|A.一氧化碳极易与血红蛋白结合，使血红蛋白丧失携氧的能力和作用，造成组织窒息，严重时死亡|B.二氧化碳是无色剧毒气体，吸入高浓度二氧化碳会出现昏迷、四肢抽搐、大小便失禁，重者可窒息死亡|C.甲烷易燃，爆炸极限为5%～15%，与空气混合能形成爆炸性混合物，遇热源和明火有燃烧爆炸的危险|D.氧含量（体积百分比浓度）10%～12%时，人体产生的影响是呼吸加深加快，几乎丧失判断能力，嘴唇发紫|A.土方坍塌事故情景设计|B.应急演练效果评估总结|C.应急演练技术支撑及保障条件|D.参演单位和人员主要任务及职责|A.物体打击|B.爆炸|C.起重伤害|D.机械伤害 E 高处坠落|A.铲车|B.门式起重机|C.小型翻斗车|D.钢筋调直机 E 电焊机|A.本工种岗位安全操作规程|B.地铁施工现场的危害因素|C.个人防护用品的使用和维护|D.事故发生时现场紧急处置措施 E 工伤事故申报、索赔程序|A.吊运格栅钢架的钢丝绳卸扣（卡环）受力方向错误，碰撞后导致断裂|B.项目经理督促、检查安全生产工作不到位，未能及时消除安全生产事故隐患|C.工程项目部安全生产责任落实不到位，未对新入场工人进行安全教育培训|D.现场安全管理不到位，未及时发现和纠正班组长甲和工人乙的违章操作行为 E 甲无证操作门式起重机，且操作错误，导致格栅钢架与竖井楼梯护栏发生碰撞|A.建立安全生产责任制度|B.对施工现场进行监督检查|C.对违章指挥、违章操作立即制止|D.发现安全生产事故隐患及时报告 E 根据工程情况制定安全施工措施,D,本题主要考查的是电缆埋深。属于纯数字考点。电缆直接埋地敷设的深度不应小于0.7m，并应在电缆紧邻上、下、左、右侧均匀敷设不小于50㎜厚的细砂，然后覆盖砖或混凝土板等硬质保护层。故选D。
单选题,"[2020年][河南中安]一、单选题
1
标记
收藏

某施工总承包单位承建学校建设工程，总建筑面积53125m2，包括教学楼、宿舍楼、体育馆及配套附属设施四项单体工程。在体育馆单体工程施工前，施工总承包单位应首先编制（ ）。",A.临时用电组织设计|B.单位工程施工组织设计|C.专项施工方案|D.安全技术措施|A.塔式起重机可以和其他用电设备共用一台开关箱|B.塔式起重机的使用单位应当对使用中的吊具、索具进行定期检验|C.塔式起重机按照专项施工方案完成顶升、附着后，即可投入使用|D.塔式起重机停止作业时应收起吊钩，将起重臂锁死切断电源|A.定期对施工升降机进行坠落试验|B.每天作业前检查齿轮与齿条啮合是否正常|C.在最高层站的停靠处，使用上限位装置停机|D.每天作业结束后，将两个吊笼停放到底层并切断电源|A.悬挂机构前支架支撑在女儿墙上，安放平稳|B.悬挂机构前支架与支撑面保持垂直，脚轮不受力|C.配重件稳定可靠地安放在配重架上，并有防止随意移动的措施|D.安全钢丝绳、工作钢丝绳分别独立悬挂，无松散、断股、打结|A.分配电箱和开关箱|B.总配电箱和开关箱|C.分配电箱和设备控制箱|D.总配电箱和分配电箱|A.圆钢|B.角钢|C.螺纹钢|D.钢管|A.发电机组电源中性点应直接接地|B.发电机组供电系统可不装设漏电保护电器|C.发电机组电源应与外电线路电源并列运行|D.配电室内存放贮油桶时，应配备灭火器|A.0.40m|B.0.50m|C.0.60m|D.0.70m|A.3m|B.4m|C.5m|D.6m|A.5.50KN/m2|B.6.50KN/m2|C.7.50KN/m2|D.8.50KN/m2|A.用安全平网单层兜底|B.用安全平网双层兜底|C.用密目式安全立网单层兜底|D.用密目式安全立网双层兜底|A.土石方机械、运输车辆行走坡道坡度为1∶5|B.采用钢板网喷射混凝土护坡，面层厚度为50㎜|C.基坑周边的施工用水应有排放系统，不得渗入土体内|D.基坑周边设立防护栏杆，且在危险处设置红色警示灯和悬挂警告标志|A.雨季施工期间，在坑顶、坑底采取有效的截排水措施|B.发生暴雨、台风等灾害天气后，及时对基坑安全进行现场检查|C.基坑周边原有建筑物设置监测点，安排专人负责监测|D.基坑支护结构构件强度达到设计要求的70%，开挖下层土方|A.40%|B.50%|C.70%|D.80%|A.拆除连墙件时，一次性拆除两层|B.划出拆除警戒区设专人看护后，上下同时进行拆除作业|C.按照“先内后外”的顺序拆除同层杆件和构件|D.按照“后装先拆、先装后拆”的原则，进行拆除作业|A.立杆的垂直偏差不应大于模板支架总高度的1%|B.搭设高度超过8m的模板支架时，水平杆步距不得大于1.8m|C.可调托座螺杆插入立杆内的长度不得小于150㎜|D.可调底座调节丝杆外露长度不得超过500㎜|A.坚持大流水步距，快速开挖|B.坚持先护顶后开挖的原则施工|C.开挖成型后需等待围岩应力重新分布完成，再进行初期支护|D.施作仰拱和封闭成环前需静置一段时间，确认无沉降后进行|A.施工单位组织了5名以上具有中级技术职称、专业经验丰富的专家进行论证|B.专家论证结论为“修改后通过”的，施工单位按照专家意见修改后实施|C.专家论证结论为“通过”的，施工单位参考专家意见自行修改完善后实施|D.专家论证的内容包括计算书、验算依据，是否符合规范标准，是否造价合理|A.一氧化碳极易与血红蛋白结合，使血红蛋白丧失携氧的能力和作用，造成组织窒息，严重时死亡|B.二氧化碳是无色剧毒气体，吸入高浓度二氧化碳会出现昏迷、四肢抽搐、大小便失禁，重者可窒息死亡|C.甲烷易燃，爆炸极限为5%～15%，与空气混合能形成爆炸性混合物，遇热源和明火有燃烧爆炸的危险|D.氧含量（体积百分比浓度）10%～12%时，人体产生的影响是呼吸加深加快，几乎丧失判断能力，嘴唇发紫|A.土方坍塌事故情景设计|B.应急演练效果评估总结|C.应急演练技术支撑及保障条件|D.参演单位和人员主要任务及职责|A.物体打击|B.爆炸|C.起重伤害|D.机械伤害 E 高处坠落|A.铲车|B.门式起重机|C.小型翻斗车|D.钢筋调直机 E 电焊机|A.本工种岗位安全操作规程|B.地铁施工现场的危害因素|C.个人防护用品的使用和维护|D.事故发生时现场紧急处置措施 E 工伤事故申报、索赔程序|A.吊运格栅钢架的钢丝绳卸扣（卡环）受力方向错误，碰撞后导致断裂|B.项目经理督促、检查安全生产工作不到位，未能及时消除安全生产事故隐患|C.工程项目部安全生产责任落实不到位，未对新入场工人进行安全教育培训|D.现场安全管理不到位，未及时发现和纠正班组长甲和工人乙的违章操作行为 E 甲无证操作门式起重机，且操作错误，导致格栅钢架与竖井楼梯护栏发生碰撞|A.建立安全生产责任制度|B.对施工现场进行监督检查|C.对违章指挥、违章操作立即制止|D.发现安全生产事故隐患及时报告 E 根据工程情况制定安全施工措施,C,本题主要考查的是高处作业坠落半径。属于高频考点。做题思路：2-5-15-30对应3/4/5/6。C正确，根据《建筑施工高处作业安全技术规范》（JGJ80-2016），交叉作业时，下层作业位置应处于上层作业的坠落半径之外，高空作业坠落半径应按下表确定。故选C。
单选题,[2020年][河南中安]悬挑式操作平台是施工现场物料转运的一种常用设施。根据《建筑施工高处作业安全技术规范》（JGJ80），悬挑式操作平台的均布荷载最大为（ ）。,A.5.50KN/m2|B.6.50KN/m2|C.7.50KN/m2|D.8.50KN/m2,A,本题主要考查的是悬挑式操作平台的均布荷载。属于纯数字的考查。A正确，根据《建筑施工高处作业安全技术规范》（JGJ80-2016），6.4.2悬挑式操作平台悬挑长度不宜大于5m，均布载荷不应大于5.5KN/m2，集中荷载不应大于15KN，悬挑梁应锚固固定。故选A。
单选题,[2020年][河南中安]脚手架作业层脚手板应铺满、铺稳、铺实，并使用安全网兜底。下列安全网兜底的做法中，正确的是（ ）。,A.用安全平网单层兜底|B.用安全平网双层兜底|C.用密目式安全立网单层兜底|D.用密目式安全立网双层兜底,B,本题主要考查的是安全网兜底的做法。做题思路：双层平网兜，交叉立网防。B正确，根据《建筑施工扣件式钢管脚手架安全技术规范》（JGJ130-2011），9.0.11脚手板应铺设牢靠、严实，并应用安全网双层兜底。施工层以下每隔10m应用安全网封闭。故选B。
单选题,[2020年][河南中安]某住宅工程基坑开挖深度6m，工程项目部在施工前编制了专项施工方案。下列专项施工方案的内容中，错误的是（ ）。,A.土石方机械、运输车辆行走坡道坡度为1∶5|B.采用钢板网喷射混凝土护坡，面层厚度为50㎜|C.基坑周边的施工用水应有排放系统，不得渗入土体内|D.基坑周边设立防护栏杆，且在危险处设置红色警示灯和悬挂警告标志,A,本题主要考查的是基坑开挖专项施工方案。属于高频考点。A错误，错在“坡度大于1:7的要求”。挖土机械、运输车辆等直接进入基坑进行施工作业，应采取保证坡道稳定的措施，坡道坡度不宜大于1:7；B正确，根据《建筑深基坑工程施工安全技术规范》（JGJ311-2013），8.2.1放坡开挖的基坑，边坡表面护坡应符合下列规定：坡面可采用钢丝网水泥砂浆或现浇钢筋混凝土覆盖，现浇混凝土可采用钢板网喷射混凝土，护坡面层的厚度不应小于50㎜、混凝土强度等级不宜低于C20，配筋应根据计算确定，混凝土面层应采用短土钉固定；C正确，根据《建筑基坑支护技术规程》（JGJ120-2012），8.1.6基坑开挖和支护结构使用期内，应按下列要求对基坑进行维护：（3）基坑周边的施工用水应有排放措施，不得渗入土体内；D正确，开挖深度超过2m的，必须在沿基坑边设立防护栏杆且在危险处设置红色警示灯，防护栏杆周围悬挂“禁止翻越”“当心坠落”等禁止、警告标志。故选A。
单选题,[2020年][河南中安]某住宅小区工程、采用预应力锚杆复合土钉墙支护结构，在雨季施工阶段，基坑坍塌事故风险增大。下列保证基坑安全的做法中，错误的是（ ）。,A.雨季施工期间，在坑顶、坑底采取有效的截排水措施|B.发生暴雨、台风等灾害天气后，及时对基坑安全进行现场检查|C.基坑周边原有建筑物设置监测点，安排专人负责监测|D.基坑支护结构构件强度达到设计要求的70%，开挖下层土方,D,本题主要考查的是基坑安全的要求。属于高频考点。答题思路：基坑怕水，需要监测，下层开挖需要等上层的强度达到设计要求。A正确，根据《建筑基坑支护技术规程》（JGJ120-2012），8.1.6基坑开挖和支护结构使用期内，应按下列要求对基坑进行维护：雨期施工时，应在坑顶、坑底采取有效的截排水措施；对地势低洼的基坑，应考虑周边汇水区域地面径流向基坑汇水的影响；排水沟、集水井应采取防渗措施；C正确，8.2.3支挡式结构顶部水平位移监测点的间距不宜大于20m，土钉墙、重力式挡墙顶部水平位移监测点的间距不宜大于15m，且基坑各边的监测点不应少于3个。基坑周边有建筑物的部位、基坑各边中部及地质条件较差的部位应设置监测点；B正确，根据《建筑深基坑工程施工安全技术规范》（JGJ311-2013），11.1.4基坑使用中应针对暴雨、冰雹、台风等灾害天气，及时对基坑安全进行现场检查；D错误，错在“强度未达到设计要求就开挖下层土体”。当支护结构构件强度达到开挖阶段的设计强度时，方可向下开挖；对采用预应力锚杆的支护结构，应在施加预加力后，方可开挖下层土方；对土钉墙，应在土钉、喷射混凝土面层的养护时间大于2天后，方可开挖下层土方。故选D。
单选题,"[2020年][河南中安]根据《建设施工碗扣式钢管脚手架安全技术规范》（JGJ166），工程项目部技术员对碗扣式模板支撑体系立杆顶端可调托撑伸出顶层水平杆的悬臂长度，选取10个点进行抽测，抽测结果如下表所示：

本次抽测悬臂长度的合格率是（ ）。",A.40%|B.50%|C.70%|D.80%,C,本题主要考查的是碗扣式模板支撑架的安全技术要求。属于超纲知识点。根据《建筑施工碗扣式钢管脚手架安全技术规范》（JGJ166），6.3.3立杆顶端可调托撑伸出顶层水平杆的悬臂长度不应超过650㎜。题干中选取的10个抽测点中有3个不符合规范要求，因此本次抽测悬臂长度的合格率是70%。故选C。
单选题,[2020年][河南中安]某房屋建筑工程主体结构封顶后，需对扣件式钢管双排脚手架进行拆除。下列脚手架拆除作业的做法中，正确的是（ ）。,A.拆除连墙件时，一次性拆除两层|B.划出拆除警戒区设专人看护后，上下同时进行拆除作业|C.按照“先内后外”的顺序拆除同层杆件和构件|D.按照“后装先拆、先装后拆”的原则，进行拆除作业,D,本题主要考查的是脚手架拆除的要求。属于高频考点。做题思路：先支的后拆、后支的先拆，先拆非承重的，再拆承重的。严禁上下垂直交叉作业。B错误，错在“上下同时拆除”（1）架体的拆除应从上而下逐层进行，严禁上下同时作业；C错误，错在“先内后外，应是先外后内”。（2）同层杆件和构配件必须按先外后内的顺序拆除；剪刀撑、斜撑杆等加固杆件必须在拆卸至该杆件所在部位时再拆除；A错误，错在“连墙件应逐层拆”。（3）作业脚手架连墙件必须随架体逐层拆除，严禁先将连墙件整层或数层拆除后再拆架体。拆除作业过程中，当架体的自由端高度超过2个步距时，必须采取临时拉结措施；（4）脚手架的拆除作业不得重锤击打、撬别。拆除的杆件、构配件应采用机械或人工运至地面，严禁抛掷。故选D。
单选题,[2020年][河南中安]某房屋建筑工程采用承插型盘扣式脚手架搭设模板支撑体系。关于支架构造及安装的说法，正确的是（ ）。,A.立杆的垂直偏差不应大于模板支架总高度的1%|B.搭设高度超过8m的模板支架时，水平杆步距不得大于1.8m|C.可调托座螺杆插入立杆内的长度不得小于150㎜|D.可调底座调节丝杆外露长度不得超过500㎜,C,本题主要考查的是承插型盘扣式模板支撑架的安全技术要求。属于高频考点。根据《建筑施工承插型盘扣式钢管支架安全技术规范》（JGJ231-2010），B错误，错在“水平杆步距超过了1m”。6.1.3当搭设高度超过8m的模板支架时，竖向斜杆应满布设置，水平杆的步距不得大于1m，沿高度每隔4～6个标准步距应设置水平层斜杆或扣件钢管剪刀撑；C正确，6.1.5模板支架立杆可调托座的伸出顶层水平杆的悬臂长度，严禁超过650㎜，可调托座插入立杆长度不得小于150㎜；D错误，错在“外露长度超过300mm”。6.1.7模板支架可调底座调节丝杆外露长度不应大于300㎜，作为扫地杆的最底层水平杆离地高度不应大于550㎜；A错误，错在“垂直度偏差为1%，超过0.2%”。7.4.6每搭完一步支模架后，应及时校正水平杆步距，立杆的纵、横距，立杆的垂直偏差和水平杆的水平偏差。立杆的垂直偏差不应大于模板支架总高度的1/500，且不得大于50㎜。故选C。
单选题,[2020年][河南中安]某城市轨道交通隧道工程，采用暗挖法施工。下列隧道结构开挖和初期支护施工采取的安全技术措施中，正确的是（ ）。,A.坚持大流水步距，快速开挖|B.坚持先护顶后开挖的原则施工|C.开挖成型后需等待围岩应力重新分布完成，再进行初期支护|D.施作仰拱和封闭成环前需静置一段时间，确认无沉降后进行,B,本题主要考查的是暗挖法施工的安全技术措施。做题思路：先撑后挖。A错误，错在“大步距、快速开挖”。坚持先护顶后开挖的原则施工。严格控制每循环进尺；C错误，错在“初期支护要趁早”。开挖成型后及时进行初期支护；D错误，错在“仰拱和封闭需尽快进行”。尽早施作仰拱封闭成环。对特殊地段缩小钢格栅的间距，随时注意观察工作面的情况，发现地质情况变化，及时采取相应处理措施。加强监测，及时对数据进行分析，发现异常情况立即上报，并采取相应防治措施。故选B。
单选题,[2020年][河南中安]某在建体育场工程，准备进行跨度40m的钢结构屋顶安装，施工单位编制了钢结构安装工程专项施工方案，组织了专家论证。下列做法中，正确的是（ ）。,A.施工单位组织了5名以上具有中级技术职称、专业经验丰富的专家进行论证|B.专家论证结论为“修改后通过”的，施工单位按照专家意见修改后实施|C.专家论证结论为“通过”的，施工单位参考专家意见自行修改完善后实施|D.专家论证的内容包括计算书、验算依据，是否符合规范标准，是否造价合理,C,本题主要考查的是专家论证的相关内容。属于高频考点。A错误，错在“中级职称，应是高级”。根据“住房城乡建设部办公厅关于实施《危险性较大的分部分项工程安全管理规定》有关问题的通知”第八条：关于专家条件：设区的市级以上地方人民政府住房城乡建设主管部门建立的专家库专家应当具备以下基本条件：（1）诚实守信、作风正派、学术严谨；（2）从事相关专业工作15年以上或具有丰富的专业经验；（3）具有高级专业技术职称；B错误，错在“修改后实施，应告知专家”第五条：关于专项施工方案修改：超过一定规模的危大工程专项施工方案经专家论证后结论为“通过”的，施工单位可参考专家意见自行修改完善；结论为“修改后通过”的，专家意见要明确具体修改内容，施工单位应当按照专家意见进行修改，并履行有关审核和审查手续后方可实施，修改情况应及时告知专家；D错误，错在“不需要对造价进行论证”。第四条：专家论证的主要内容：（1）专项方案内容是否完整、可行；（2）专项方案计算书和验算依据是否符合有关标准规范；（3）安全施工的基本条件是否满足现场实际情况。故选C。
单选题,[2020年][河南中安]有限空间由于自然通风不良，存在氧含量不足、有毒有害和易燃易爆气体积聚等危险有害因素。关于有限空间危险有害因素及其危害的说法，错误的是（ ）。,A.一氧化碳极易与血红蛋白结合，使血红蛋白丧失携氧的能力和作用，造成组织窒息，严重时死亡|B.二氧化碳是无色剧毒气体，吸入高浓度二氧化碳会出现昏迷、四肢抽搐、大小便失禁，重者可窒息死亡|C.甲烷易燃，爆炸极限为5%～15%，与空气混合能形成爆炸性混合物，遇热源和明火有燃烧爆炸的危险|D.氧含量（体积百分比浓度）10%～12%时，人体产生的影响是呼吸加深加快，几乎丧失判断能力，嘴唇发紫,B,本题主要考查的是有毒有害物质对人体的伤害。属于高频考点。做题思路：一氧化碳、硫化氢有毒、易燃。二氧化碳可使人窒息，甲烷可燃可爆。氧含量最低19.5%。A正确，（1）一氧化碳极易与血红蛋白结合，形成碳氧血红蛋白，使血红蛋白丧失携氧的能力和作用，造成组织窒息，严重时死亡。一氧化碳对全身的组织细胞均有毒性作用，尤其对大脑皮质的影响最为严重；B错误，错在“二氧化碳剧毒，二氧化碳无毒”（2）二氧化碳为无色气体，高浓度时略带酸味，比空气重，溶于水、烃类等多数有机溶剂。若遇高热、容器内压增大，有开裂和爆炸的危险。二氧化碳本身没有毒性。在有限空间吸入高浓度二氧化碳时，因人体内组织缺氧，会出现昏迷、四肢抽搐、大小便失禁，以及头痛、恶心呕吐等表现，轻者有头痛、头昏、无力等不适症状，重者可窒息死亡；C正确，（3）甲烷为无色、无味的气体，比空气轻，溶于乙醇、乙醚、微溶于水。甲烷易燃，爆炸极限为5%〜15%，与空气混合能形成爆炸性混合物，遇热源和明火有燃烧爆炸的危险，造成人员伤亡；D正确，（4）氧含量故选B。
单选题,[2020年][河南中安]施工总承包单位组织土方坍塌应急演练活动前，编制了《土方坍塌应急演练工作方案》。根据《生产安全事故应急演练指南》（AQ/T9007），下列编制项目中，不属于应急演练工作方案内容的是（ ）。,A.土方坍塌事故情景设计|B.应急演练效果评估总结|C.应急演练技术支撑及保障条件|D.参演单位和人员主要任务及职责,B,本题主要考查的是应急演练内容。属于高频考点。B不属于，ACD属于。演练工作方案内容主要包括：应急演练目的及要求、应急演练事故情景设计、应急演练参与人员及范围，时间与地点、参演单位和人员主要任务及职责、应急演练筹备工作内容、应急演练主要步骤、应急演练技术支撑及保障条件、应急演练评估与总结。故选B。
单选题,"[2020年][河南中安]1
标记
收藏
根据《企业职工伤亡事故分类目录》（GB6441），该工程2号竖井发生的事故类别是（ ）。",A.物体打击|B.爆炸|C.起重伤害|D.机械伤害 E 高处坠落|A.铲车|B.门式起重机|C.小型翻斗车|D.钢筋调直机 E 电焊机,C,本题主要考查的是6441。属于高频考点。做题思路：结合案例背景涉及的危险，其可能导致的事故进行作答。根据《企业职工伤亡事故分类》（GB6441），本次事故是违规操作起重机所导致的事故，故属于起重伤害。故选C。
单选题,"[2020年][河南中安]1
标记
收藏
根据《企业职工伤亡事故分类目录》（GB6441），该工程2号竖井发生的事故类别是（ ）。",A.物体打击|B.爆炸|C.起重伤害|D.机械伤害 E 高处坠落|A.铲车|B.门式起重机|C.小型翻斗车|D.钢筋调直机 E 电焊机,B,本题主要考查的是特种设备的判定。属于高频考点。B属于，根据《特种设备目录》，门式起重机属于特种设备中的起重机械。故选B。
多选题,[2020年][河南中安]根据《生产经营单位安全培训规定》（国家安全生产监督管理总局令第3号），该公司对新入职的工人乙安全教育培训的内容应包括（ ）。,A.本工种岗位安全操作规程|B.地铁施工现场的危害因素|C.个人防护用品的使用和维护|D.事故发生时现场紧急处置措施 E 工伤事故申报、索赔程序,ABCD,本题主要考查的是安全教育培训内容。属于高频考点。做题思路：没有发生工伤后的培训内容。根据《生产经营单位安全培训规定》，新入职的工人乙岗前安全培训内容应当包括：工作环境及危险因素；所从事工种可能遭受的职业伤害和伤亡事故；所从事工种的安全职责、操作技能及强制性标准；自救互救、急救方法、疏散和现场紧急情况的处理；安全设备设施、个人防护用品的使用和维护；本车间（工段、区、队）安全生产状况及规章制度；预防事故和职业危害的措施及应注意的安全事项；有关事故案例；其他需要培训的内容。故选ABCD。
单选题,[2020年][河南中安]造成该事故发生的直接原因有（ ）。,A.吊运格栅钢架的钢丝绳卸扣（卡环）受力方向错误，碰撞后导致断裂|B.项目经理督促、检查安全生产工作不到位，未能及时消除安全生产事故隐患|C.工程项目部安全生产责任落实不到位，未对新入场工人进行安全教育培训|D.现场安全管理不到位，未及时发现和纠正班组长甲和工人乙的违章操作行为 E 甲无证操作门式起重机，且操作错误，导致格栅钢架与竖井楼梯护栏发生碰撞,A,本题主要考查的是事故的直接原因。属于高频考点。做题思路：人的不安全行为（三违）+物的不安全状态。AE正确，事故的直接原因为新入职的工人乙使用钢丝绳和卸扣（卡环）捆绑6个格栅钢架，但吊运格栅钢架的钢丝绳卸扣（卡环）受力方向错误，碰撞后导致断裂；甲无证操作门式起重机，且操作错误导致格栅钢架与竖井楼梯护栏发生碰撞，格栅钢架坠落至竖井底部砸中作业人员；BCD错误，属于间接原因，事故的间接原因为项目经理督促、检查安全生产工作不到位，未能及时消除安全生产事故隐患；工程项目部安全生产责任落实不到位，未对新入场工人进行安全教育培训；现场安全监督管理不到位，未及时发现和纠正班组长甲和工人乙的违章操作行为。故选AE。
多选题,[2020年][河南中安]根据《建设工程安全生产管理条例》（国务院令第393号），下列工作职责中，属于工程项目部专职安全生产管理人员的有（ ）。,A.建立安全生产责任制度|B.对施工现场进行监督检查|C.对违章指挥、违章操作立即制止|D.发现安全生产事故隐患及时报告 E 根据工程情况制定安全施工措施,BCD,本题主要考查的是安全生产管理人员的职责，属于高频考点。做题思路：安全员要做实际的工作，深入一线去。BCD属于，根据《建设工程安全生产管理条例》，施工单位应当设立安全生产管理机构，配备专职安全生产管理人员。专职安全生产管理人员负责对安全生产进行现场监督检查。发现安全事故隐患，应当及时向项目负责人和安全生产管理机构报告；对违章指挥、违章操作的，应当立即制止。故选BCD。
单选题,[2021年][河南中安]施工现场预留洞口一般采用盖板或防护栏杆进行防护。根据《建筑施工高处作业安全技术规范》，洞口盖板承受的均布荷载应不小于（    ）。,A.0.5KN/m2|B.1.00KN/m2|C.1.50KN/m2|D.2.00KN/m2,D,本题主要考查的是洞口盖板承受的均布荷载，属于数字型考题。D正确，洞口盖板应能承受不小于1KN的集中荷载和不小于2KN/m2的均布荷载，有特殊要求的盖板应另行设计。故选D。
单选题,[2021年][河南中安]工程项目部组织钢结构吊装和管道安装等悬空高处作业时，应采取有效的安全防护措施。下列悬空高处作业安全防护措施中，错误的是（    ）。,A.在作业层下方设置水平安全网|B.钢结构构件在地面组装，安全设施一并设置|C.利用钢梁作为水平通道时，设置连续的安全绳|D.在施工层搭设水平通道时，水平通道一侧设置防护栏杆,D,本题主要考查的是高处作业安全防护措施，属于高频考点。做题思路：人员“三保”要使用，临边防护无遗漏。A正确，吊装时，应在作业层下面设置水平安全平网；B正确，钢结构吊装，构件宜在地面组装，安全设施应一并设置；C正确，当利用钢梁作为水平通道时，应在钢梁一侧设置连续的安全绳，安全绳宜采用钢丝绳；D错误，错在“只在一侧临边设置防护栏杆，应是两侧”。钢结构安装施工宜在施工层搭设水平通道，水平通道两侧应设置防护栏杆。故选D。
单选题,[2021年][河南中安]某工程项目部组织塔式起重机顶升作业前，对顶升作业人员进行了安全技术交底。下列交底内容中，不符合安全要求的是（    ）。,A.顶升作业前，塔式起重机下支座与顶升套架应可靠连接|B.顶升作业中，应调整变幅小车位置进行配平操作|C.顶升作业中，应保证塔式起重机的平衡|D.顶升作业中，不应进行回转操作,B,本题主要考查的是塔吊顶升时人员安全技术交底，属于高频考点。做题思路：顶升前检查材料、构配件，劳动防护用品。顶升时严格按照方案进行，先配平，再顶升。顶升后做好相应的检查，做到工完场清，不留隐患。《建筑施工塔式起重机安装、使用、拆卸安全技术规程》（JGJ196-2010），顶升作业前，应将塔式起重机配平，并不是在顶升作业中进行。故选B。
单选题,[2021年][河南中安]施工升降机拆卸作业是施工现场安全监督管理的重点。下列关于施工升降机拆卸作业的说法，正确的是（    ）。,A.先全部拆除附墙架，再拆除导轨架|B.夜间进行拆卸作业时，应保证充足的照明|C.拆卸作业是安装作业的逆过程，可不编制专项施工方案|D.拆卸作业不能连续完成时，应根据拆卸状态采取相应安全措施,D,本题主要考查的是施工升降机拆卸作业的安全要求，属于高频考点。做题思路：属于危大工程，必须编制方案，夜间不得拆除，可以使用，附墙架随拆除进度而拆除。A错误，拆卸附墙架时施工升降机导轨架的自由端高度应始终满足使用说明书的要求；应确保与基础相连的导轨架在最后一个附墙架拆除后，仍能保持各方向的稳定性；B错误，夜间不得进行施工升降机的拆卸作业；C错误，施工升降机拆卸作业应符合拆卸工程专项施工方案的要求。故选D。
