题型,题目,选项,答案,解析
单选题,[2020年][河南中安]塔式起重机随着作业高度的提升，需要进行顶升作业。顶升作业过程中容易发生塔式起重机倾翻事故，因此，顶升作业需严格遵守安全操作规程。下列塔式顶升作业的操作要求中，正确的是（）。,A.标准节架应安装于过渡节之上|B.先连接标准节架，再退出引渡小车|C.顶升套架应位于新装标准节架外侧|D.先拔出定位销，再连接标准节架,C,本题考查的是起重机械事故（超纲）。A错误，过渡节指的是塔吊最上面的标准节，用于标准节和大臂的连接过渡；B错误，新装标准节引入顶升套架内后，与原塔身标准节对正，缓慢落下新装标准节，退出引渡小车，将新装标准节与原塔身标准节连接牢靠，紧固好双螺母；C正确，顶升套架安装在标准节外侧，新装标准节应引入顶升套架内，与原塔身标准节对正后连接；D错误，正常情况下，塔式起重机顶升作业应先将一节塔身标准节吊入引进梁，然后再吊一节塔身标准节寻找平衡点，找到平衡点后将回转下支座与塔身标准节连接螺栓拆除（此时绝不允许将回转下支座与顶升套架连接销轴拆除）。通过液压油缸将顶升套架顶升后，放入一节新塔身标准节，将新塔身标准节与原塔身标准节连接螺栓安装好，再将回转下支座与新塔身标准节连接螺栓安装好，完成顶升作业。故选C。
单选题,[2020年][河南中安]保护导体旨在防止间接接触电击，包括保护接地线、保护接零线和等电位联结线。关于保护导体应用的说法，正确的是（ ）。,A.低压电气系统中可利用输送可燃液体的金属管道作保护导体|B.保护导体干线必须与电源中性点和接地体相连|C.保护导体干线应通过一条连接线与接地体连接|D.电缆线路不得利用其专用保护芯线和金属包皮作保护接零,B,本题考查保护导体，属于高频考点。做题思路：关注敏感词“可燃液体”。A错误，在低压系统，允许利用不流经可燃液体或气体的金属管道作保护导体。（一旦金属管道中有可燃液体或气体，有可能导致火灾爆炸事故，造成更大的事故）；B正确，保护导体干线必须与电源中性点和接地体（工作接地、重复接地）相连；C错误，保护导体支线应与保护干线相连。为提高可靠性，保护干线应经两条连接线与接地体连接；D错误，电缆线路应利用其专用保护芯线和金属包皮作保护零线。故选B。
单选题,[2020年][河南中安]根据《特种设备安全监察条例》，大型游乐设施是指用于经营目的，承载乘客游乐的设施，其范围规定为运行高度距地面高于或者等于2m，或者设计最大运行线速度大于或等于（ ）的载人大型游乐设施。,A.1m/s|B.3m/s|C.4m/s|D.2m/s,D,本题考查大型游乐设施概念。大型游乐设施，是指用于经营目的，承载乘客游乐的设施，其范围规定为设计最大运行线速度大于或者等于2m/s，或者运行高度距地面高于或者等于2m的载人大型游乐设施。用于体育运动、文艺演出和非经营活动的大型游乐设施除外。故选D。
单选题,[2020年][河南中安]《全球化学品统一分类和标签制度》（也称为“GHS”）是由联合国出版的指导各国控制化学品危害和保护人类健康与环境的规范性文件。为实施GHS规则，我国发布了《化学品分类和标签规范》（GB30000），根据该规范，在外包装或容器上应当用下图作为标签的化学品类别是（ ）。,A.氧化性气体|B.易燃气体|C.易燃气溶胶|D.爆炸性气体,A,本题考察的是化学品类别的图示，考查频率较低。做题思路：识图，圆圈代表“O”，氧可以支持燃烧。具体可参照下表，可判断出题干给出的图形符号为氧化性气体。故选A。
单选题,[2020年][河南中安]危险化学品的运输事故时有发生，全面了解和掌握危险化学品的安全运输规定。对预防危险化学品事故具有重要意义，下列运输危险化学品的行为中，符合运输安全要求的是（ ）。,A.某工厂安排押运员与专职司机一起运输危险化学品二氯乙烷|B.在运输危险化学品氯酸钾时，司机临时将车辆停止在马路边买水|C.某工厂计划通过省内人工河道运输少量危险化学品双环氧乙烷|D.某工厂采用特制叉车将液化石油气钢瓶从库房甲转移到库房乙,A,本题考察危化品运输安全技术要求，属于高频考点。做题思路：分析选项是否存在危险，如存在危险则不符合运输安全要求。A正确，运输危险货物应当配备必要的押运人员，保证危险货物处于押运人员的监管之下；B错误，道路危险货物运输过程中，驾驶人员不得随意停车；C错误，依据《内河禁运危险化学品目录》（2019版），双环氧乙烷属于内河禁止散装运输危险化学品。再依据《危险化学品安全管理条例》第五十四条规定，禁止通过内河封闭水域运输剧毒化学品以及国家规定禁止通过内河运输的其他危险化学品；D错误，禁止用叉车、铲车、翻斗车搬运易燃、易爆液化气体等危险物品。（易燃易爆的危险物品不得使用叉车，不管是否为特制叉车）。故选A。
单选题,"[2020年][河南中安]一、单选题
37
标记
收藏
无损检测广泛应用于金属材料表面裂纹，内部裂纹等缺陷的诊断。下列无损检测方法中，能对内部裂纹缺陷进行检测的是（ ）。",A.超声检测|B.涡流检测|C.渗透检测|D.磁粉检测,A,本题考查无损检测，属于化工实务内容。无损检测是不损坏材料而通过射线、超声波、磁粉、渗透和涡流检测等方法对设备及焊接接头内部和表面的缺陷进行检验。各种方法都有其局限性，如超声检测和射线检测主要是针对被检测物内部的缺陷，超声波检测对裂纹这类平面型缺陷灵敏度比射线探伤高，而射线检测则以检验如气孔、夹渣等体积型缺陷较有效；磁粉、渗透检测主要用于检查表面缺陷。故选A。
单选题,[2020年][河南中安]火灾探测器的工作原理是将烟雾、温度、火焰和燃烧气体等参量的变化通过敏感元件转化为电信号，传输到火灾报警控制器，不同种类的火灾探测器适用不同的场合。关于火灾探测器适用场合的说法，正确的是（ ）。,A.感光探测器适用于有阴燃阶段的燃料火灾的场合|B.红外火焰探测器适合于有大量烟雾存在的场合|C.紫外火焰探测器特别适用于无机化合物燃烧的场合|D.光电式感烟火灾探测器适用于发出黑烟的场合,B,本题考查火灾探测器适用范围，属于高频考点。做题思路：感光——没有阴燃；光电——黑烟低、白烟高；红外——有烟；紫外——有机燃烧，没有烟雾。A错误，感光探测器特别适用于没有阴燃阶段的燃料火灾（如醇类、汽油、煤气等易燃液体、气体火灾）的早期检测报警；B正确，红外线波长较长，致使有大量烟雾存在的火场，在距火焰一定距离内，仍可使红外线敏感元件（Pbs红外光敏管）感应，发出报警信号；C错误，紫外火焰探测器适用于有机化合物燃烧的场合，如油井、输油站、飞机库、可燃气罐、液化气罐、易燃易爆品仓库等，特别适用于火灾初期不产生烟雾的场所（如生产储存酒精、石油等场所）；D错误，光电式感烟火灾探测器有一个很大的缺点就是对黑烟灵敏度很低，对白烟灵敏度较高，考试时常常对“黑烟”“白烟”进行混淆。故选B。
单选题,[2020年][河南中安]电气设备运行过程中，可能产生静电积累，应对电气设备采取有效的静电防护措施。关于静电防护措施的说法。正确的是（ ）。,A.用非导电性工具可有效泄放接触—分离静电|B.接地措施可以从根本上消除感应静电|C.静电消除器主要用来消除导体上的静电|D.增湿措施不宜用于消除高温绝缘体上的静电,D,本题考查静电防护措施，属于高频考点。做题思路：静电属于“电”，要导走需要使用导电性工具。A错误，采用导电性工具可有效泄放静电，非导电性工具不能将静电导走；B错误，接地的主要作用是消除导体上的静电，但并不能从根本上消除静电；C错误，静电消除器主要用来消除非导体上的静电，而不是“导体”上的静电；D正确，增湿的方法不宜用于消除高温绝缘体上的静电。故选D。
单选题,[2020年][河南中安]人体阻抗与接触电压、皮肤状态、接触面积等因素有关。关于人体阻抗影响因素的说法，正确的是（ ）。,A.人体阻抗与电流持续的时间无关|B.人体阻抗与触电者个体特征有关|C.人体阻抗随接触面积增大而增大|D.人体阻抗随温度升高而增大,B,本题考查人体阻抗影响因素，属于高频考点。做题思路：电压升高、电流持续时间延长、出汗、接触面积增大、接触压力增大、温度升高——导致人体电阻降低。A错误，电流持续时间延长，人体电阻由于出汗等原因而下降，而不是无关；B正确，皮肤状态对人体电阻的影响很大，如干燥和潮湿状态下，阻抗相差大；CD错误，接触面积增大、接触压力增大、温度升高时，人体电阻也会降低。故选B。
单选题,[2020年][河南中安]灭火剂是能够有效地破坏燃烧条件、中止燃烧物质，不同种类灭火剂的灭火机理不同，干粉灭火剂的灭火机理是（ ）。,A.使链式燃烧反应中断|B.使燃烧物冷却、降温|C.使燃烧物与氧气隔绝|D.使燃烧区内氧气浓度降低,A,本题考查干粉灭火剂的灭火机理，属于高频考点。干粉灭火剂的灭火机理是链式燃烧反应被终止，从而火焰熄灭。故选A。
单选题,[2020年][河南中安]电气防火防爆可采取消除或减少爆炸性混合物、消除引燃源、隔离、爆炸危险环境接地和接零等技术措施。下列电气防火防爆技术措施中，正确的是（ ）。,A.采用TN-S作供电系统时需装设双极开关|B.在危险空间充填空气，防止形成爆炸性混合物|C.毗连变电室、配电室的建筑物，其门、窗应向内开|D.配电室不得通过走廊与火灾危险环境相通,A,本题考查电气防火防爆技术措施，属于高频考点。做题思路：TN-S系统的安全性最高。A正确，爆炸危险环境的接地接零应采用TN-S系统，并装设双极开关同时操作相线和中性线；B错误，在危险空间充填惰性气体或不活泼气体，而不是充填空气；C错误，毗连变、配电室的门、窗应向外开，通向无爆炸或火灾危险的环境。（开门的方向应该是便于人逃生的方向，即从内向外）；D错误，配电室允许通过走廊或套间与火灾危险环境相通。故选A。
单选题,[2020年][河南中安]轨道运行的塔式起重机，每个运行方向应设置限位装置，限位装置由限位开关、缓冲器和终端止挡组成。根据《塔式起重机》（GB/T 5031），限位开关动作后，应保证塔式起重机停车时其端部距缓冲器的最小距离为（ ）。,A.500㎜|B.700㎜|C.1000㎜|D.1200㎜,C,本题考查塔式起重机。根据《塔式起重机》（GB/T5031）5.6.5：轨道运行的塔机，每个运行方向应设置限位装置，其中包括限位开关、缓冲器和终端止挡。应保证开关动作后塔机停车时其端部距缓冲器最小距离为1000㎜，终端止挡距轨道终端最小距离为1000㎜。故选C。
单选题,[2020年][河南中安]起重机司索工在吊装作业前，应估算吊物的质量和重心，以免吊装过程中吊具失效导致事故。根据安全操作要求，如果目测估算，所选吊具的承载能力应为估算吊物质量的（ ）。,A.1.1倍以上|B.1.3倍以上|C.1.5倍以上|D.1.2倍以上,D,本题考查的是司索工安全操作技术，属于高频考点。做题思路：数字记忆。D正确，司索工准备吊具时，对吊物的质量和重心估计要准确，如果是目测估算，应增大20%选择吊具。故所选吊具的承载能力应为估算吊物质量的1.2倍。故选D。
单选题,"[2020年][河南中安]一、单选题
45
标记
收藏
某压力容器内的介质不洁净、易于结晶或聚合，为预防该容器内压力过高导致爆炸，拟安装安全泄压装置，下列安全泄压装置中，该容器应安装的是（ ）。",A.爆破片|B.安全阀|C.易熔塞|D.防爆门,A,本题考查安全泄压装置，属于高频考点。做题思路：安全阀要求介质要干净。如果压力容器的介质不洁净、易于结晶或聚合，这些杂质或结晶体有可能堵塞安全阀，使得阀门不能按规定的压力开启，失去了安全阀泄压作用，在此情况下就只得用爆破片作为泄压装置。故选A。其他考点：对于工作介质为剧毒气体或可燃气体（蒸气）里含有剧毒气体的压力容器，其泄压装置应采用爆破片而不宜用安全阀，以免污染环境。因为对于安全阀来说，微量的泄漏是难免的。
单选题,[2020年][河南中安]烟花爆竹产品中的烟火药原料包括氧化剂、还原剂、黏合剂、添加剂等，原料的组成不仅决定其燃烧爆炸特性，还影响其安全稳定性。根据《烟花爆竹安全与质量》（G,B.10631），下列物质中，烟火药原料禁止使用的是（ ）。|A.高氯酸钾|B.硝酸钾|C.氯酸钾|D.苯甲酸钾,C,本题考查烟火药的组成，属于高频考点。做题思路：分类记忆示例。烟火药组成包括：氧化剂、还原剂、黏合剂、添加剂等。1）常用氧化剂包括：高氯酸钾、硝酸钾、硝酸钡、硝酸锶、四氧化三铅等。A、B可使用。2）常用的还原剂包括：镁铝合金粉、铝粉、钛粉、铝渣、铁粉、木炭、硫黄、苯甲酸钾、苯二甲酸氢钾等。D可使用。故选C。
单选题,[2020年][河南中安]压力容器在使用过程中，由于压力、温度、介质等工况条件的影响，可能导致材质劣化。根据《固定式压力容器安全技术监察规程》（TSG21），当对有材质劣化倾向的压力容器检验时，必须检测的项目是（ ）。,A.强度|B.硬度|C.刚度|D.密度,B,本题考查压力容器检验。根据《固定式压力容器安全技术监察规程》（TSG21）8.3.8 第二条规定，有材质劣化倾向的压力容器，应当进行硬度检测，必要时进行金相分析。第三条中规定，有焊缝硬度要求的压力容器，应当进行硬度检测。故选B。
单选题,[2020年][河南中安]客运架空索道的定期检验分为全面检验和年度检验，根据《客运索道监督检验和定期检验规则》（TSGS7001），下列检验项目中，属于客运架空索道年度检验项目的是（ ）。,A.空绳试验|B.重上空下试验|C.空载试验|D.重下空上试验,C,本题考查的是客运架空索道年度检验项目。根据《客运索道监督检验和定期检验规则》（TSGS7001）：负荷试验包括空绳试验、空载试验、重上空下试验、重下空上试验、重上重下试验和紧急驱动装置试验。其中空载试验、紧急驱动装置试验属于年度检验项目。故选C。
单选题,[2020年][河南中安]锅炉通常装设防爆门防止再次燃烧造成破坏。当作用在防爆门上的总压力超过其本身的质量或强度时，防爆门就会被冲开或冲破，达到泄压的目的，下列锅炉部件中，防爆门通常装设在（ ）易爆处。,A.过热器和再热器|B.高压蒸汽管道|C.锅筒和锅壳|D.烟道和炉膛,D,本题考查锅炉安全附件。做题思路：关注装设防爆门位置。D正确，为防止炉膛和尾部烟道再次燃烧造成破坏，常采用在炉膛和烟道易爆处装设防爆门。故选D。
单选题,[2020年][河南中安]铸造作业过程存在诸多危险有害因素，发生事故的概率较大。为预防事故，通常会从工艺布置、工艺设备、工艺操作、建筑要求等方面采取相应的安全技术措施。下列铸造作业的安全技术措施中，错误的是（ ）。,A.大型铸造车间的砂处理、清理工段布置在单独厂房内|B.铸造车间熔化、浇注区和落砂、清理区设避风天窗|C.浇包盛装铁水的体积不超过浇包容积的85%|D.浇注时，所有与金属溶液接触的工具均需预热,C,本题考查铸造作业的安全技术措施，属于高频考点。做题思路：关注80%相关数字考点。C错误，浇注作业一般包括烘包、浇注和冷却三道工序。浇包盛铁水不得太满，不得超过容积的80%，故选C。
单选题,[2020年][河南中安]在人机系统中，人始终处于核心地位并起主导作用，机器起着安全可靠的保障作用，在信息反应能力、操作稳定性、事件处理能力、环境适应能力等特性方面，人与机器各有优势。下列特性中，人优于机器的是（ ）。,A.特定信息反应能力|B.操作稳定性|C.环境适应能力|D.偶然事件处理能力,D,本题考查的是人与机器特性的比较，属于高频考点。做题思路：人——灵活的，机器——死板的。D正确，人具有随机应变的能力，能采取灵活的程序和策略处理问题，而机器只能按照设定的程序进行处理，D中的“偶然事件处理能力”是人优于机器的。A中的“特定信息反应能力”、B中的“操作稳定性”及C中的“环境适应能力”均是机器优于人的方面。故选D。
单选题,[2020年][河南中安]民用爆炸物品生产企业设计应当符合《民用爆破器材工程设计安全规范》（G,B.50089），该规范适用于民用爆炸物品工厂的新建、改建、扩建和（ ）。|A.装备保养工程|B.技术改造工程|C.设备维修工程|D.隐患排查工程,B,本题考查《民用爆破器材工程设计安全规范》适用范围。本题根据《民用爆破器材工程设计安全规范》（GB50089）规定，本标准适用于民用爆炸物品行业科研、生产、销售企业建设工程的新建、扩建、改建和技术改造。（即新改扩+技术改造）故选B。
单选题,[2020年][河南中安]电气设备电极间的击穿放电可产生电火花，大量电火花汇集起来即构成电弧。下列关于电火花和电弧的说法，正确的是（ ）。,A.电火花和电弧只能引起可燃物燃烧，不能使金属熔化|B.电气设备正常操作过程中不会产生电火花，更不会产生电弧|C.静电火花和电磁感应火花属于外部原因产生的事故火花|D.绕线式异步电动机的电刷与滑环的滑动接触处产生的火花属于事故火花,C,本题考查电弧和电火花，属于高频考点。做题思路：工作火花关键词：通断、电刷。A错误，电火花的温度很高，特别是电弧，温度高达8000℃，电火花和电弧不仅能引起可燃物燃烧，还能使金属熔化、飞溅，构成二次引燃源；B错误，电火花分为工作火花和事故火花，工作火花是电气设备在正常工作或操作过程中产生的，故会产生电火花；C正确，事故火花是线路或设备发生故障时出现的火花，如电路发生短路或接地时产生的火花；熔丝熔断时产生的火花；连接点松动或线路断开时产生的火花；变压器、断路器等高压电气设备由于绝缘质量降低发生的闪络等。事故火花还包括由外部原因产生的火花。如雷电火花、静电火花和电磁感应火花；D错误，绕线式异步电动机的电刷与滑环的滑动接触处产生的火花属于工作火花，属于正常工作中所产生的。故选C。
单选题,[2020年][河南中安]雷电具有电性质、热性质、机械性质等多方面的危害，可引起火灾爆炸、人身伤亡、设备设施毁坏、大规模停电等。关于雷电危害的说法，正确的是（ ）。,A.球雷本身不会伤害人员，但可引起可燃物发生火灾甚至爆炸|B.巨大的雷电流瞬间产生的热量不足以引起电流通道中的液体急剧蒸发|C.巨大的雷电流流入地下可直接导致接触电压和跨步电压电击|D.雷电可导致电力设备或电力线路破坏但不会导致大面积停电,C,本题考查雷电危害，属于高频考点。做题思路：从雷电危害类型多、程度严重的角度分析。A错误，球雷打击也能使人致命；B错误，巨大的雷电流瞬间产生的大量热量使雷电流通道中的液体急剧蒸发，体积急剧膨胀，造成被击物破坏甚至爆碎；C正确，数十至数百千安的雷电流流入地下，会在雷击点及其连接的金属部分产生极高的对地电压，可能直接导致接触电压和跨步电压电击；D错误，雷电对电力设备或电力线路破坏后即可能导致大规模停电。故选C。
单选题,[2020年][河南中安]乳化炸药在生产、储存、运输和使用过程中存在诸多引发燃烧爆炸事故的危险因素，包括高温、撞击摩擦、电气、静电火花、雷电等。关于引发乳化炸药原料或成品燃烧爆炸事故的说法，错误的是（ ）。,A.乳化炸药在储存、运输过程中，静电放电的火花温度达到其着火点，会引发燃烧爆炸事故|B.硝酸铵储存过程中会发生自然分解，放出的热聚集，温度达到其爆发点时会引发燃烧爆炸事故|C.油相材料都是易燃危险品，储存时遇到高温、氧化剂等，易引发燃烧爆炸事故|D.乳化炸药运输时发生翻车、撞车、坠落、碰撞及摩擦等险情，易引发燃烧爆炸事故,A,本题考查乳化炸药危险因素。做题思路：静电火花的危险性来自乳化炸药生产过程而不是运输过程。A错误，乳化炸药生产的火灾爆炸危险因素主要来自物质危险性，如生产过程中的高温、撞击摩擦、电气和静电火花、雷电引起的危险性。静电火花的危险性来自乳化炸药生产过程而不是运输过程；B正确，硝酸铵储存过程中会发生自然分解，放出热量。当环境具备一定的条件时热量聚集，当温度达到爆发点时引起硝酸铵燃烧或爆炸；C正确，油相材料都是易燃危险品，储存时遇到高温、氧化剂等，易发生燃烧而引起燃烧事故；D正确，乳化炸药的运输可能发生翻车、撞车、坠落、碰撞及摩擦等险情，会引起乳化炸药的燃烧或爆炸。故选A。
单选题,[2020年][河南中安]电气设备在运行中，接地装置应始终保持良好状态，接地装置包括接地体和接地线。关于接地装置连接的说法，正确的是（ ）。,A.有伸缩缝的建筑物的钢结构可直接作接地线|B.接地线与管道的连接可采用镀铜件螺纹连接|C.接地装置地下部分的连接应采用搭焊|D.接地线的连接处有振动隐患时应采用螺纹连接,C,本题考查接地装置连接，属于高频考点。做题思路：防腐蚀、防锈蚀——镀锌。A错误，利用建筑物的钢结构、起重机轨道、工业管道等自然导体作接地线时，其伸缩缝或接头处应另加跨接线，以保证连续可靠；B错误，接地线与管道的连接可采用螺纹连接或抱箍螺纹连接，但必须采用镀锌件，以防止锈蚀；C正确，接地装置地下部分的连接应采用焊接，并应采用搭焊，不得有虚焊；D错误，在有振动的地方，应采取防松措施，采用螺纹连接时容易产生松动。故选C。
单选题,[2020年][河南中安]压力容器在使用过程中，使用单位应对其进行年度检查。根据《固定式压力容器安全技术监察规程》（TSG21），下表检查内容中，属于搪玻璃压力容器年度检查的是（ ）。,A.（2）、（3）、（5）|B.（3）、（4）、（5）|C.（1）、（2）、（4）|D.（2）、（3）、（4）,D,本题考查搪玻璃压力容器年度检查内容。根据《固定式压力容器安全技术监察规程》（TSG21）7.2.2.2非金属及非金属衬里压力容器年度检查专项要求7.2.2.2.1搪玻璃压力容器检查：（1）压力容器外表面防腐漆是否完好，是否有锈蚀、腐蚀现象；（2）密封面是否有泄漏；（3）夹套底部排净（疏水）口开闭是否灵活；（4）夹套顶部放气口开闭是否灵活。故选D。
单选题,[2020年][河南中安]危险化学品贮存应采取合理措施预防事故发生。根据《常用危险化学品贮存通则》（GB15603），下列危险化学品贮存的措施中，正确的是（ ）。,A.某工厂因危险化学品库房维护，将爆炸物品临时露天堆放|B.高、低等级危险化学品一起贮存的区域，按低等级危险化学品管理|C.某生产岗位员工未经培训，将其调整到危险化学品库房管理岗位|D.某工厂按照危险化学品类别，采取隔离贮存、隔开贮存和分离贮存,D,本题考查危险化学品贮存，属于高频考点。做题思路：危大禁露天，多种选高级，管理有技术，存储分隔开。A错误，危险化学品露天堆放，应符合防火、防爆的安全要求，爆炸物品、一级易燃物品、遇湿燃烧物品、剧毒物品不得露天堆放；B错误，同一区域贮存两种及两种以上不同级别的危险化学品时，应按最高等级危险化学品的性能标志；C错误，储存危险化学品的仓库必须配备有专业知识的技术人员，其库房及场所应设专人管理，管理人员必须配备可靠的个人安全防护用品；D正确，危险化学品储存方式分为3种：隔离储存，隔开储存，分离储存。故选D。
单选题,[2020年][河南中安]腐蚀性危险化学品及其相关废弃物应严格按照相关规定进行存放、使用、处理。下列针对腐蚀性危险化学品所采取的安全措施中，正确的是（ ）。,A.某工厂要求存放腐蚀性危险化学品应注意容器的密封性，并保持室内通风|B.某工厂采取填埋方法有效处理废弃的腐蚀性危险化学品|C.某试验室要求将液态腐蚀性危险化学品存放在试剂柜的上层|D.某工厂将腐蚀性危险化学品的废液经稀释后排入下水道,A,本题考查废弃物销毁。做题思路：大原则——储存注意密封，不能直接排放或填埋。B错误，填埋方法可用于处理有机过氧化物废弃物和一般工业固体废弃物，将液态腐蚀性危险化学品填埋会存在污染环境等风险；C错误，将液态腐蚀性危险化学品存放在试剂柜的上层有倾覆的危险；D错误，腐蚀性危险化学品的废液不能仅经过稀释就排放至下水道。故选A。
单选题,[2020年][河南中安]一台正在运行的蒸汽锅炉，运行人员发现锅炉水位表内出现泡沫。汽水界限难以区分，过热蒸汽温度下降，过热蒸汽带水。下列针对该故障采取的处理措施中，正确的是（ ）。,A.减少给水，同时开启排污阀放水，打开过热器，蒸汽管道上的疏水阀，加强疏水|B.降低负荷，关闭给水阀，停止给水，打开省煤器疏水阀，启用省煤器再循环管路|C.减少给水，降低负荷，开启省煤器再循环管路，开启排污阀放水|D.降低负荷，调小主汽阀，开启过热器，蒸汽管道上的疏水阀，开启排污阀放水，同时给水,D,本题考查汽水共腾处理措施，属于高频考点。做题思路：需理解事故原理。汽水共腾的原因有：（1）锅水品质太差；（2）负荷增加和压力降低过快。故在事故处理中，应针对上述的两种原因，采取有针对性的处理方法。发现汽水共腾时：（1）应减弱燃烧力度，降低负荷，关小主汽阀→（2）加强蒸汽管道和过热器的疏水→（3）全开连续排污阀，并打开定期排污阀放水，同时上水，以改善锅水品质→（4）待水质改善、水位清晰时，可逐渐恢复正常运行。注意里面的关键词“降低负荷”“调小主汽阀”“开启排污阀”“给水”等。故选D。
单选题,[2020年][河南中安]某公司清理废旧设备重叠堆放的场地，使用汽车吊进行吊装，场地中单件设备重量均小于汽车吊的额定起重量。当直接起吊一台被其他设备包围的设备时，汽车吊失稳前倾，吊臂折断，造成事故。下列该事故的原因中，可能的直接原因是（ ）。,A.吊物被埋置|B.吊物质量不清|C.吊物有浮置物|D.吊物捆绑不牢,A,本题考查起重机械事故，属于高频考点。做题思路：分析题干背景条件。A正确，如果吊物被埋置，起吊可能造成起重机械失稳前倾，吊臂折断；B错误，依据题干描述：“场地中单件设备重量均小于汽车吊的额定起重量”；C错误，“吊物有浮置物”吊装物体中含有未被固定的物品，像这类未被固定的物品被称作“浮置物”。在吊装过程中浮置物易翻滚、滑移、脱落，而造成事故。不会导致起重机吊臂折断；D错误，吊物捆绑不牢有可能导致被吊起物坠落伤人，不会导致起重机吊臂折断。故选A。
单选题,"[2020年][河南中安]一、单选题
62
标记
收藏
起重机司机作业前应检查起重机与其他设备或固定建筑物的距离，以保证起重机与其他设备或固定建筑物的最小距离在（ ）。",A.1.0m以上|B.1.5m以上|C.0.5m以上|D.2.0m以上,C,本题考查起重机司机安全操作技术，属于高频考点。做题思路：数字记忆。开机作业前，应确认起重机与其他设备或固定建筑物的最小距离是否在0.5m以上。其他考点：起重机司机安全操作技术要求如下，（1）司机在正常操作过程中，不得利用极限位置限制器停车；不得利用打反车进行制动；不得在起重作业过程中进行检查和维修；不得带载调整起升、变幅机构的制动器，或带载增大作业幅度；（2）严格按指挥信号操作，对紧急停止信号，无论何人发出，都必须立即执行。吊载接近或达到额定值，或起吊危险器（液态金属、有害物、易燃易爆物）时，吊运前认真检查制动器，并用小高度、短行程试吊，确认没有问题后再吊运。（3）有主、副两套起升机构的，不允许同时利用主、副钩工作（设计允许的专用起重机除外）；（4）用两台或多台起重机吊运同一重物时，每台起重机都不得超载。故选C。
单选题,[2020年][河南中安]可燃气体的爆炸浓度极限范围受温度、压力、点火源能量等因素的影响。当其他因素不变、点火源能量大于某一数值时，点火源能量对爆炸浓度极限范围的影响较小。在测试甲烷与空气混合物的爆炸浓度极限时，点火源能量应选（ ）。,A.5焦耳以上|B.15焦耳以上|C.20焦耳以上|D.10焦耳以上,D,本题考查点火源的影响，属于高频考点。做题思路：数字记忆。一般情况下，爆炸极限均在较高的点火能量下测得。如测甲烷与空气混合气体的爆炸极限时，用10J以上的点火能量，其爆炸极限为5%～15%。故选D。
单选题,"[2020年][河南中安]一、单选题
64
标记
收藏
运输散装直立气瓶时，运输车辆应具有固定气瓶相应装置并确保气瓶处于直立状态，气瓶高出车辆栏板部分不应大于气瓶高度的（ ）。",A.1/2|B.1/3|C.1/5|D.1/4,D,本题考查气瓶装卸运输，属于高频考点。做题思路：数字记忆。运输车辆应具有固定气瓶的相应装置，散装直立气瓶高出栏板部分不应大于气瓶高度的1/4。故选D。
单选题,[2020年][河南中安]压力管道年度检查是指使用单位在管道运行条件下对管道进行的自行检查，每年至少进行一次。根据《压力管道定期检验规则—工业管道》（TSGD7005），下列工业管道检查要求中，不属于年度检查的是（ ）。,A.对管道中的波纹管膨胀节，检查波纹管的波间距|B.对有蠕胀测量要求的管道，检查蠕胀测点或蠕胀测量带|C.对管道有明显腐蚀的部位，进行表面磁粉检测|D.对易燃、易爆介质的管道，测定防静电接地电阻值,C,本题考查压力管道年度检查项目。根据《压力管道定期检验规则-工业管道》（TSGD7005）附件A工业管道年度检查要求：A3年度检查内容：年度检查应当至少包括对管道安全管理情况、管道运行状况和安全附件与仪表的检查，必要时应当进行壁厚测定和电阻值测量。A3.2管道运行状况检查；A3.2.1检查内容：A属于，第10条，检查波纹管膨胀节表面有无划痕、凹痕、腐蚀穿孔、开裂以及波纹管波间距；B属于，第12条，对有蠕胀测量要求的管道，检查管道蠕胀测点或者蠕胀测量带是否完好；D属于，A3.4电阻值测量应当对输送易燃、易爆介质的管道，以抽查方式进行防静电接地电阻值和法兰间接触电阻值测定。防静电接地电阻值应当不大于100Ω，法兰间接触电阻值应当小于0.03Ω；C不属于，磁粉检测属于定期检验的内容不属于年度检查的内容。故选C。
单选题,"[2020年][河南中安]一、单选题
66
标记
收藏
《危险货物运输包装通用技术条件》（GB12463）要求危险货物按照货物的危险性进行分类包装。其中，危险性较小的货物应采用（ ）包装。",A.Ⅰ类|B.Ⅱ类|C.Ⅳ类|D.Ⅲ类,D,本题考查危险货物包装，属于高频考点。做题思路：Ⅰ类——较大；Ⅱ类——中等；Ⅲ类——较小（Ⅰ、Ⅱ、Ⅲ，大中小）。《危险货物运输包装通用技术条件》（GB12463）把危险货物包装分成3类：（1）Ⅰ类包装：适用内装危险性较大的货物；（2）Ⅱ类包装：适用内装危险性中等的货物；（3）Ⅲ类包装：适用内装危险性较小的货物。故题干中要求危险性较小的货物，应采用Ⅲ类包装。故选D。
